code,name,unit,price,quantity,category
"AB-1627","LIMON EN POLVO",UNO,"70",108,"ALIMENTOS",
"AL-1243","ACEITE 10W 30 SINTETICO 4 Lt",Lt,"3500",49,"ACEITES Y LUBRICANTES",
"AL-1245","SPRAY LIMPIA CADENA",UNO,"2000",3,"ACEITES Y LUBRICANTES",
"AL-1247","LIMPIA CARBURADOR",UNO,"2000",11,"ACEITES Y LUBRICANTES",
"AL-1248","ACEITE 15W 40 GASOLINA",Lt,"3250",359,"ACEITES Y LUBRICANTES",
"AL-1249","ACEITE 20 W 50 GASOLINA",Lt,"3250",947,"ACEITES Y LUBRICANTES",
"AL-1250","ACEITE SAE DIESEL",Lt,"3250",9,"ACEITES Y LUBRICANTES",
"AL-1251","ACEITE 10 W 40 4T MOLINOL 1L",Lt,"5440",29,"ACEITES Y LUBRICANTES",
"AL-1253","ACEITE 20W 50 DIESEL",Lt,"3000",262,"ACEITES Y LUBRICANTES",
"AL-1396","LIQUIDO DE FRENO 350 ML",UNO,"2500",108,"ACEITES Y LUBRICANTES",
"AL-1487","LIQUIDO LIMPIA INYECTORES",Lt,"4500",2,"ACEITES Y LUBRICANTES",
"AL-1702","GRASA CHASIS 1LT",UNO,"3500",45,"ACEITES Y LUBRICANTES",
"AL-1703","GRASA BALERO 1LT",UNO,"3500",25,"ACEITES Y LUBRICANTES",
"AL-1705","ACEITE 15W 40 DIESEL",Lt,"3250",242,"ACEITES Y LUBRICANTES",
"AL-1728","GRASA CHASIS 4LT",UNO,"20250",228,"ACEITES Y LUBRICANTES",
"AL-1729","GRASA BALEROS 4LT",UNO,"20250",20,"ACEITES Y LUBRICANTES",
"AL-1755","ACEITE 2 TIEMPOS 250ML",UNO,"1500",80,"ACEITES Y LUBRICANTES",
"AL-1783","ACEITE 2T 1LT",Lt,"6100",801,"ACEITES Y LUBRICANTES",
"B-1254","BOMB LED PARA PIZARRA 24 V",UNO,"250",198,"BOMBILLOS",
"B-1255","BOMB 12V CHIQUITA PIZARRA",UNO,"250",407,"BOMBILLOS",
"B-1256","BOMB COLA PESCAO",UNO,"250",43,"BOMBILLOS",
"B-1258","LED 24V TIRILLA",UNO,"300",45,"BOMBILLOS",
"B-1262","BOMB H4 (4 CARAS)",UNO,"3500",11,"BOMBILLOS",
"B-1263","BOMBILLO MEDIANO LED TRACERO 12 VOLT",UNO,"600",30,"BOMBILLOS",
"B-1264","BOMBILLO 24V 21W",UNO,"400",48,"BOMBILLOS",
"B-1265","BOMB H4  12 V HALOGENO",PAR,"2000",11,"BOMBILLOS",
"B-1266","HALOGENO 24 V",UNO,"2000",5,"BOMBILLOS",
"B-1267","BOMB 1FIL 21W 12 VOLT",UNO,"400",123,"BOMBILLOS",
"B-1269","BOMB PARPADEO",UNO,"1400",2,"BOMBILLOS",
"B-1606","BOMBILLO H1 12 VOLT",UNO,"1500",1,"BOMBILLOS",
"B-1614","BOMBILLO HB3 AUTO MODERNO",UNO,"4500",2,"BOMBILLOS",
"B-1777","BOMBILLO PARA PIZARRA 24 V",UNO,"250",204,"BOMBILLOS",
"BT-1379","BATER -IDON  90 AMP",UNO,"50000",1,"BATERIAS",
"BT-1380","BATER-IDON 100 AMP",UNO,"65000",23,"BATERIAS",
"BT-1381","BATERIA 75A JAPONESA",UNO,"105000",87,"BATERIAS",
"BT-1382","BATERIA KOYOSONIK 150 AMP",UNO,"105000",12,"BATERIAS",
"BT-1383","BATER MOURA -90 AMP",UNO,"92800",34,"BATERIAS",
"BT-1384","BATER- OMEGA 75AMP",UNO,"50000",5,"BATERIAS",
"BT-1385","BATERIA 200 A JAPONESA",UNO,"125000",7,"BATERIAS",
"BT-1386","BATERERIA 100 AMP JAPONESA",UNO,"60000",67,"BATERIAS",
"BT-1387","BATER- OMEGA 200 AMP",UNO,"120000",23,"BATERIAS",
"BT-1784","BATERIA DE MOTO 7AMP",UNO,"20100",2,"BATERIAS",
"ED-1587","INVERSOR 2200 W",UNO,"72000",3,"ELECTROS",
"ED-1588","CARGADOR 10 A 12 VOLT",UNO,"30000",1,"ELECTROS",
"ED-1589","CARGADOR 20 A",UNO,"67000",2,"ELECTROS",
"ED-1590","COMPRESOR DE AIRE 12 VOLT",UNO,"18000",2,"ELECTROS",
"ED-1601","TRANSFER AUTOMATICO",UNO,"44800",3,"ELECTROS",
"ED-1617","EQUIPO DE SOLDAR ELECTRICO",UNO,"126000",1,"ELECTROS",
"ED-1628","GPS DIGITAL",UNO,"25000",2,"ELECTROS",
"ED-1630","CARGADOR MOVIL CON BLUETOOTH",UNO,"6500",1,"ELECTROS",
"ED-1651","BOCINAS PIONERS 750W",UNO,"38400",1,"ELECTROS",
"ED-1666","VENTILADOR MILEXUS",UNO,"15000",33,"ELECTROS",
"ED-1667","VENTILADOR RECARGABLE",UNO,"38400",70,"ELECTROS",
"ED-1739","HIDROLAVADORA",UNO,"89500",2,"ELECTROS",
"FF-1001","BUJIA ESTRELLA ROJA",UNO,"2500",27,"FERRETERIA",
"FF-1036","LATAS DE OLOR",UNO,"2500",22,"FERRETERIA",
"FF-1044","SOPORTE TELEFONO",UNO,"3500",4,"FERRETERIA",
"FF-1109","ARANDELA DE PRESION PEQUEÑA",UNO,"15",549,"FERRETERIA",
"FF-1117","CAPACITOR 400 MICRO",UNO,"4200",1,"FERRETERIA",
"FF-1125","BREAKER 40A SIMPLE",UNO,"1600",3,"FERRETERIA",
"FF-1129","CANDADO GRANDE",UNO,"1600",6,"FERRETERIA",
"FF-1135","CABLE 10",m,"1300",260,"FERRETERIA",
"FF-1137","DISCO DESBASTE",UNO,"900",10,"FERRETERIA",
"FF-1138","DELCO PEGAMENTO PLASTICO EPOXI",UNO,"1300",7,"FERRETERIA",
"FF-1140","DISCO CORTE",UNO,"250",6,"FERRETERIA",
"FF-1141","DISCO MILOJA",UNO,"800",3,"FERRETERIA",
"FF-1142","EMBUDO PLASTICO",UNO,"2500",9,"FERRETERIA",
"FF-1143","CANDADO PEQUEÑO",UNO,"450",1,"FERRETERIA",
"FF-1145","EXTENSION 10M",UNO,"4500",1,"FERRETERIA",
"FF-1149","GAMUZA CHIQUITA",UNO,"4000",19,"FERRETERIA",
"FF-1150","BARRENA  3MM",UNO,"350",16,"FERRETERIA",
"FF-1153"," JUEGO CUBO METAL",UNO,"5000",3,"FERRETERIA",
"FF-1154","LIJA",UNO,"150",639,"FERRETERIA",
"FF-1156","LLAVE TALADRO",UNO,"900",5,"FERRETERIA",
"FF-1158","LIJADORA",UNO,"21000",4,"FERRETERIA",
"FF-1159","LLAVIN PUERTA ANTICOPIA",UNO,"6000",1,"FERRETERIA",
"FF-1160","MASORCA TALADRO",UNO,"3800",2,"FERRETERIA",
"FF-1161","BARRENA 6 MM",UNO,"450",2,"FERRETERIA",
"FF-1162","MANILLA PUERTA CASA",UNO,"1200",2,"FERRETERIA",
"FF-1165","BARRENA 3.16",UNO,"400",3,"FERRETERIA",
"FF-1166","TORNILLO 6 mm",UNO,"150",192,"FERRETERIA",
"FF-1167","BARRENA 4 mm",UNO,"400",18,"FERRETERIA",
"FF-1168","TOMACORRIENTE DOBLE FABRICA 15A",UNO,"1400",41,"FERRETERIA",
"FF-1171","PRECINTA TRASPARENTE",UNO,"900",1,"FERRETERIA",
"FF-1172","BARRENA 5 MM",UNO,"400",12,"FERRETERIA",
"FF-1174","PELO CEGUETA",UNO,"300",19,"FERRETERIA",
"FF-1175","PRESILLA GAS MEDIANA",UNO,"150",11,"FERRETERIA",
"FF-1176","PRESILLA CHIQUITA",UNO,"120",2,"FERRETERIA",
"FF-1177","PLASTICOLA",UNO,"1800",10,"FERRETERIA",
"FF-1180","PRESILLA METAL GRANDE",UNO,"400",20,"FERRETERIA",
"FF-1182","PRECINTA DE NYLON",UNO,"1200",6,"FERRETERIA",
"FF-1183","BRIDA 3.6 X 150MM",UNO,"20",452,"FERRETERIA",
"FF-1184","CORRECTOR DE COLORES",UNO,"25",130,"FERRETERIA",
"FF-1187","PRECINTA PAPEL",UNO,"2500",12,"FERRETERIA",
"FF-1189","REGULADOR VOLTAJE",UNO,"17500",10,"FERRETERIA",
"FF-1194","BRIDA 4.8 X 400MM",UNO,"40",24,"FERRETERIA",
"FF-1195","SILICONA CALOR",UNO,"900",22,"FERRETERIA",
"FF-1196","SILICONA TRANSPARENTE",UNO,"1500",1,"FERRETERIA",
"FF-1197","ADAPTADOR NEGRO PEQUEÑO",UNO,"350",14,"FERRETERIA",
"FF-1201","ELECTRODO SOLD LAORABLE 6013",UNO,"50",95,"FERRETERIA",
"FF-1202","ELECTRODO ACERO INOXIDABLE",UNO,"250",711,"FERRETERIA",
"FF-1203","DESTORNILLADOR GRANDE PUNTA",UNO,"18000",2,"FERRETERIA",
"FF-1204","BRIDA 4.8 X 500MM",UNO,"50",177,"FERRETERIA",
"FF-1205","ADAPTADOR GRANDE BLANCO",UNO,"400",5,"FERRETERIA",
"FF-1206","FLASHI 12 VOLT",UNO,"1500",7,"FERRETERIA",
"FF-1208","BREAK 63 AM PLANTA CUHILLA",UNO,"19040",11,"FERRETERIA",
"FF-1209","BROCHA 6mm",UNO,"1500",9,"FERRETERIA",
"FF-1212","RELAY 24 VOLT",PAR,"1300",19,"FERRETERIA",
"FF-1479","BISAGRAS",PAR,"1800",4,"FERRETERIA",
"FF-1480","CHEQUES 1PULG",UNO,"1800",4,"FERRETERIA",
"FF-1481","VOLTIMETRO 12 VOLT",UNO,"3500",5,"FERRETERIA",
"FF-1482","CRANES 12X125",UNO,"2100",8,"FERRETERIA",
"FF-1484","CRANES 14X150",UNO,"1100",19,"FERRETERIA",
"FF-1485","BUJIAS NGK",UNO,"2500",20,"FERRETERIA",
"FF-1486","BUJIAS PRISMA Y TAINO",UNO,"2000",23,"FERRETERIA",
"FF-1488","BUJIAS FINA 4T",UNO,"1500",22,"FERRETERIA",
"FF-1490","LLAVE ALLEN GRANDE",UNO,"3800",4,"FERRETERIA",
"FF-1493","DISCO CORTE SIERRA",UNO,"1600",2,"FERRETERIA",
"FF-1494","ESPONJA MOOR LAVAR AUTOS",UNO,"1300",15,"FERRETERIA",
"FF-1495","ESPIGA GRANDE PLANTA MACHO",UNO,"1200",13,"FERRETERIA",
"FF-1496","GOMA PATA ARRANQ MOTOR",UNO,"650",7,"FERRETERIA",
"FF-1498","CHIRRI CHIQUITO",UNO,"35",635,"FERRETERIA",
"FF-1502","MULTIMETRO",UNO,"8500",1,"FERRETERIA",
"FF-1503","NIPLE 1/2",UNO,"350",1,"FERRETERIA",
"FF-1504","MANGUERA GASOLINA",UNO,"200",3,"FERRETERIA",
"FF-1506","MANG SILICONA GAS",m,"800",10,"FERRETERIA",
"FF-1508","TUBO LED LAMPARA 40",UNO,"3500",21,"FERRETERIA",
"FF-1512","PESTILLO 3PG",UNO,"600",2,"FERRETERIA",
"FF-1514","PUNTA DESTORNL",UNO,"3500",1,"FERRETERIA",
"FF-1516","SILICONA NEUTRA",UNO,"2400",1,"FERRETERIA",
"FF-1520","TAPA DE VALVULA",UNO,"300",228,"FERRETERIA",
"FF-1580","LLAVE LAVAMANOS",UNO,"3500",5,"FERRETERIA",
"FF-1581","DUCHA ELECTRICA",UNO,"15000",3,"FERRETERIA",
"FF-1582","LLAVE DE FREGADERO GANZO",UNO,"3700",1,"FERRETERIA",
"FF-1583","BARRAS SILICONA",UNO,"150",15,"FERRETERIA",
"FF-1585","MALLA PLASTICA PARA PERSIANAS",m,"2000",64,"FERRETERIA",
"FF-1591","CORNETA COMPRESOR",UNO,"20000",1,"FERRETERIA",
"FF-1592","PONCHE FRIO",UNO,"2000",15,"FERRETERIA",
"FF-1602","TOMA DE PANELES SOLARES",UNO,"2000",27,"FERRETERIA",
"FF-1611","PASTA PARA SOLDAR",UNO,"2000",9,"FERRETERIA",
"FF-1612","TUBOS DE ESTAÑO",UNO,"1500",9,"FERRETERIA",
"FF-1615","CABLE PARA BOCINAS DE AUTO",m,"500",14,"FERRETERIA",
"FF-1618","FUSIBLE 30 A",UNO,"100",184,"FERRETERIA",
"FF-1636","BASES DE RELAY",UNO,"1300",29,"FERRETERIA",
"FF-1641","CORREA DE LAVADORA MODERNA",UNO,"2400",2,"FERRETERIA",
"FF-1649","ESPIRALES REPELENTES INSECTOS",UNO,"200",126,"FERRETERIA",
"FF-1650","SPRAY REPELENTE",UNO,"2000",26,"FERRETERIA",
"FF-1654","CANDADO CIRCULAR MOTO Y BICICLETA",UNO,"2800",6,"FERRETERIA",
"FF-1710","ESPAGUETIS TERMICOS",UNO,"350",46,"FERRETERIA",
"FF-1719","TOMACORRIENTE E INETRUPTOR COMBINADO",UNO,"900",11,"FERRETERIA",
"FF-1737","VALVULAS #14",UNO,"500",218,"FERRETERIA",
"FF-1743","LUZ DE SERVICIO",UNO,"3500",1,"FERRETERIA",
"FF-1752","CALCOMANIA",UNO,"300",196,"FERRETERIA",
"FF-1753","ESCOBA",UNO,"1000",1,"FERRETERIA",
"FF-1760","CAPACITOR 300MF",UNO,"4800",8,"FERRETERIA",
"FF-1761","CABLE ROYAL COOL",m,"650",68,"FERRETERIA",
"FF-1762","TERMO RETRACTIL (CAJA 160 PIEZAS)",UNO,"2500",10,"FERRETERIA",
"FF-1785","CABLE DE COBRE No12",m,"700",206,"FERRETERIA",
"FF-1788","BROCHAS 4''",UNO,"950",2,"FERRETERIA",
"FF-1792","CINTA REFLECTORA DOS COLORES",UNO,"250",8932,"FERRETERIA",
"JJ-1593","RELOJ ORIEN HOMBRE",UNO,"8000",1,"JOYERIA",
"NA-1478","GOMA AUTO 15/185/65",UNO,"32000",3,"NEUMATICOS AUTO",
"NA-1637","GOMA 15 AUTO",UNO,"30000",15,"NEUMATICOS AUTO",
"NA-1638","GOMA 14 AUTO",UNO,"30000",5,"NEUMATICOS AUTO",
"NA-1639","GOMA 13 AUTO",UNO,"24000",2,"NEUMATICOS AUTO",
"NM-1232","GOMA 14/90/90 UNISUKI",UNO,"15000",1,"NEUMATICOS MOTO",
"NM-1234","CAMARA 16 X 250",UNO,"3500",11,"NEUMATICOS MOTO",
"NM-1236","CAMARA 16/300/250",UNO,"3500",1,"NEUMATICOS MOTO",
"NM-1242","GOMA M 18X275",UNO,"15000",2,"NEUMATICOS MOTO",
"NM-1483","GOMA MOTO JAWA PISTA",UNO,"22000",5,"NEUMATICOS MOTO",
"NM-1484","GOMA 14 MOTORINA",UNO,"22000",1,"NEUMATICOS MOTO",
"NM-1656","CAMARA 16/300",UNO,"3500",13,"NEUMATICOS MOTO",
"NM-1657","CAMARA 16/350",UNO,"3500",9,"NEUMATICOS MOTO",
"PA-1000","AMORTIGUADOR  AUTO AMERICANO",PAR,"35000",3,"PIEZAS DE AUTO",
