piso,code,name,unit,price,quantity,category
"Piso EMA","AB-1627","LIMON EN POLVO",UNO,"70",108,"ALIMENTOS",
"Piso EMA","AB-1635","TE",UNO,"40",0,"ALIMENTOS",
"Piso EMA","AB-1723","COFFEE MATE",UNO,"2000",0,"ALIMENTOS",
"Piso EMA","AL-1243","ACEITE 10W 30 SINTETICO 4 Lt",Lt,"3500",49,"ACEITES Y LUBRICANTES",
"Piso EMA","AL-1245","SPRAY LIMPIA CADENA",UNO,"2000",3,"ACEITES Y LUBRICANTES",
"Piso EMA","AL-1246","SPRAY AFLOJA TORNILLO",UNO,"2000",0,"ACEITES Y LUBRICANTES",
"Piso EMA","AL-1247","LIMPIA CARBURADOR",UNO,"2000",11,"ACEITES Y LUBRICANTES",
"Piso EMA","AL-1248","ACEITE 15W 40 GASOLINA",Lt,"3250",359,"ACEITES Y LUBRICANTES",
"Piso EMA","AL-1249","ACEITE 20 W 50 GASOLINA",Lt,"3250",947,"ACEITES Y LUBRICANTES",
"Piso EMA","AL-1250","ACEITE SAE DIESEL",Lt,"3250",9,"ACEITES Y LUBRICANTES",
"Piso EMA","AL-1251","ACEITE 10 W 40 4T MOLINOL 1L",Lt,"5440",29,"ACEITES Y LUBRICANTES",
"Piso EMA","AL-1253","ACEITE 20W 50 DIESEL",Lt,"3000",262,"ACEITES Y LUBRICANTES",
"Piso EMA","AL-1396","LIQUIDO DE FRENO 350 ML",UNO,"2500",108,"ACEITES Y LUBRICANTES",
"Piso EMA","AL-1486","LIQUIDO DE FRENO",Lt,"5500",0,"ACEITES Y LUBRICANTES",
"Piso EMA","AL-1487","LIQUIDO LIMPIA INYECTORES",Lt,"4500",2,"ACEITES Y LUBRICANTES",
"Piso EMA","AL-1488","ACEITE DE TRASMISION POMO 1LT",Lt,"3500",0,"ACEITES Y LUBRICANTES",
"Piso EMA","AL-1702","GRASA CHASIS 1LT",UNO,"3500",45,"ACEITES Y LUBRICANTES",
"Piso EMA","AL-1703","GRASA BALERO 1LT",UNO,"3500",25,"ACEITES Y LUBRICANTES",
"Piso EMA","AL-1704","ACEITE MOLINOL 15W 40 1 LT",Lt,"4000",0,"ACEITES Y LUBRICANTES",
"Piso EMA","AL-1705","ACEITE 15W 40 DIESEL",Lt,"3250",242,"ACEITES Y LUBRICANTES",
"Piso EMA","AL-1728","GRASA CHASIS 4LT",UNO,"20250",228,"ACEITES Y LUBRICANTES",
"Piso EMA","AL-1729","GRASA BALEROS 4LT",UNO,"20250",20,"ACEITES Y LUBRICANTES",
"Piso EMA","AL-1755","ACEITE 2 TIEMPOS 250ML",UNO,"1500",80,"ACEITES Y LUBRICANTES",
"Piso EMA","AL-1778","AGUA REFRIGERANTE 4LT",UNO,"5000",0,"ACEITES Y LUBRICANTES",
"Piso EMA","AL-1783","ACEITE 2T 1LT",Lt,"6100",801,"ACEITES Y LUBRICANTES",
"Piso EMA","AP-1722","DESODORANTE SPRAY OBAO",UNO,"2200",0,"ARTICULOS DE ASEO Y BELLEZA",
"Piso EMA","AP-1754","CREMA DENTAL",UNO,"900",0,"ARTICULOS DE ASEO Y BELLEZA",
"Piso EMA","AP-1767","PERFUME TRABAS",UNO,"3400",0,"ARTICULOS DE ASEO Y BELLEZA",
"Piso EMA","B-1253","BOMBILLO 12V X10W",UNO,"600",0,"BOMBILLOS",
"Piso EMA","B-1254","BOMB LED PARA PIZARRA 24 V",UNO,"250",198,"BOMBILLOS",
"Piso EMA","B-1255","BOMB 12V CHIQUITA PIZARRA",UNO,"250",407,"BOMBILLOS",
"Piso EMA","B-1256","BOMB COLA PESCAO",UNO,"250",43,"BOMBILLOS",
"Piso EMA","B-1257","LED 12V TIRILLA",UNO,"300",0,"BOMBILLOS",
"Piso EMA","B-1258","LED 24V TIRILLA",UNO,"300",45,"BOMBILLOS",
"Piso EMA","B-1260","BOMBILLO FAN 32 VOLT 3 CARAS",UNO,"3500",0,"BOMBILLOS",
"Piso EMA","B-1261","BOMB MOTORINA",UNO,"1500",0,"BOMBILLOS",
"Piso EMA","B-1262","BOMB H4 (4 CARAS)",UNO,"3500",11,"BOMBILLOS",
"Piso EMA","B-1263","BOMBILLO MEDIANO LED TRACERO 12 VOLT",UNO,"600",30,"BOMBILLOS",
"Piso EMA","B-1264","BOMBILLO 24V 21W",UNO,"400",48,"BOMBILLOS",
"Piso EMA","B-1265","BOMB H4  12 V HALOGENO",PAR,"2000",11,"BOMBILLOS",
"Piso EMA","B-1266","HALOGENO 24 V",UNO,"2000",5,"BOMBILLOS",
"Piso EMA","B-1267","BOMB 1FIL 21W 12 VOLT",UNO,"400",123,"BOMBILLOS",
"Piso EMA","B-1268","BOMB 2FIL 21M (2 FILAMENTOS)",UNO,"400",0,"BOMBILLOS",
"Piso EMA","B-1269","BOMB PARPADEO",UNO,"1400",2,"BOMBILLOS",
"Piso EMA","B-1606","BOMBILLO H1 12 VOLT",UNO,"1500",1,"BOMBILLOS",
"Piso EMA","B-1614","BOMBILLO HB3 AUTO MODERNO",UNO,"4500",2,"BOMBILLOS",
"Piso EMA","B-1777","BOMBILLO PARA PIZARRA 24 V",UNO,"250",204,"BOMBILLOS",
"Piso EMA","BT-1379","BATER -IDON  90 AMP",UNO,"50000",1,"BATERIAS",
"Piso EMA","BT-1380","BATER-IDON 100 AMP",UNO,"65000",23,"BATERIAS",
"Piso EMA","BT-1381","BATERIA 75A JAPONESA",UNO,"105000",87,"BATERIAS",
"Piso EMA","BT-1382","BATERIA KOYOSONIK 150 AMP",UNO,"105000",12,"BATERIAS",
"Piso EMA","BT-1383","BATER MOURA -90 AMP",UNO,"92800",34,"BATERIAS",
"Piso EMA","BT-1384","BATER- OMEGA 75AMP",UNO,"50000",5,"BATERIAS",
"Piso EMA","BT-1385","BATERIA 200 A JAPONESA",UNO,"125000",7,"BATERIAS",
"Piso EMA","BT-1386","BATERERIA 100 AMP JAPONESA",UNO,"60000",67,"BATERIAS",
"Piso EMA","BT-1387","BATER- OMEGA 200 AMP",UNO,"120000",23,"BATERIAS",
"Piso EMA","BT-1750","BATERIA AAA",UNO,"100",0,"BATERIAS",
"Piso EMA","BT-1751","BATERIA AA",UNO,"120",0,"BATERIAS",
"Piso EMA","BT-1784","BATERIA DE MOTO 7AMP",UNO,"20100",2,"BATERIAS",
"Piso EMA","ED-1279","OLLAS FRIJOLERAS",UNO,"27000",0,"ELECTROS",
"Piso EMA","ED-1586","INVERSOR 72 VOLT",UNO,"63000",0,"ELECTROS",
"Piso EMA","ED-1587","INVERSOR 2200 W",UNO,"72000",3,"ELECTROS",
"Piso EMA","ED-1588","CARGADOR 10 A 12 VOLT",UNO,"30000",1,"ELECTROS",
"Piso EMA","ED-1589","CARGADOR 20 A",UNO,"67000",2,"ELECTROS",
"Piso EMA","ED-1590","COMPRESOR DE AIRE 12 VOLT",UNO,"18000",2,"ELECTROS",
"Piso EMA","ED-1594","MPPT SOLAR 50 A",UNO,"21000",0,"ELECTROS",
"Piso EMA","ED-1601","TRANSFER AUTOMATICO",UNO,"44800",3,"ELECTROS",
"Piso EMA","ED-1617","EQUIPO DE SOLDAR ELECTRICO",UNO,"126000",1,"ELECTROS",
"Piso EMA","ED-1621","REPRODUCTORA CON BOCINA",UNO,"55000",0,"ELECTROS",
"Piso EMA","ED-1628","GPS DIGITAL",UNO,"25000",2,"ELECTROS",
"Piso EMA","ED-1630","CARGADOR MOVIL CON BLUETOOTH",UNO,"6500",1,"ELECTROS",
"Piso EMA","ED-1651","BOCINAS PIONERS 750W",UNO,"38400",1,"ELECTROS",
"Piso EMA","ED-1666","VENTILADOR MILEXUS",UNO,"15000",33,"ELECTROS",
"Piso EMA","ED-1667","VENTILADOR RECARGABLE",UNO,"38400",70,"ELECTROS",
