deposito,familia,fecha,importe
"Piso EMA","ACEITES Y LUBRICANTES","2026-08-01",6120.00
"Piso EMA","ACEITES Y LUBRICANTES","2026-08-03",167504.00
"Piso EMA","ACEITES Y LUBRICANTES","2026-08-04",25440.00
"Piso EMA","ACEITES Y LUBRICANTES","2026-08-05",44940.00
"Piso EMA","ACEITES Y LUBRICANTES","2026-08-08",31058.00
"Piso EMA","ACEITES Y LUBRICANTES","2026-08-10",15000.00
"Piso EMA","ACEITES Y LUBRICANTES","2026-08-11",30428.00
"Piso EMA","ACEITES Y LUBRICANTES","2026-08-12",5480.00
"Piso EMA","ACEITES Y LUBRICANTES","2026-08-13",25398.00
"Piso EMA","ACEITES Y LUBRICANTES","2026-08-14",53496.00
"Piso EMA","ACEITES Y LUBRICANTES","2026-08-15",12240.00
"Piso EMA","ACEITES Y LUBRICANTES","2026-08-17",22898.00
"Piso EMA","ACEITES Y LUBRICANTES","2026-08-18",36720.00
"Piso EMA","ACEITES Y LUBRICANTES","2026-08-19",38640.00
"Piso EMA","BATERIAS","2026-08-03",102000.00
"Piso EMA","BATERIAS","2026-08-04",285600.00
"Piso EMA","BATERIAS","2026-08-05",74800.00
"Piso EMA","BATERIAS","2026-08-07",81600.00
"Piso EMA","BATERIAS","2026-08-12",287700.00
"Piso EMA","BATERIAS","2026-08-14",102000.00
"Piso EMA","BATERIAS","2026-08-15",346800.00
"Piso EMA","BATERIAS","2026-08-18",102000.00
"Piso EMA","BATERIAS","2026-08-19",285600.00
"Piso EMA","BOMBILLOS","2026-08-01",500.00
"Piso EMA","BOMBILLOS","2026-08-03",4700.00
"Piso EMA","BOMBILLOS","2026-08-04",600.00
"Piso EMA","BOMBILLOS","2026-08-05",7600.00
"Piso EMA","BOMBILLOS","2026-08-07",600.00
"Piso EMA","BOMBILLOS","2026-08-08",1000.00
"Piso EMA","BOMBILLOS","2026-08-10",1000.00
"Piso EMA","BOMBILLOS","2026-08-11",4900.00
"Piso EMA","BOMBILLOS","2026-08-12",7000.00
"Piso EMA","BOMBILLOS","2026-08-13",4800.00
"Piso EMA","BOMBILLOS","2026-08-14",600.00
"Piso EMA","BOMBILLOS","2026-08-15",1200.00
"Piso EMA","BOMBILLOS","2026-08-18",500.00
"Piso EMA","ELECTROS","2026-08-04",23800.00
"Piso EMA","ELECTROS","2026-08-06",51000.00
"Piso EMA","ELECTROS","2026-08-07",122400.00
"Piso EMA","ELECTROS","2026-08-08",24000.00
"Piso EMA","ELECTROS","2026-08-10",17125.00
"Piso EMA","ELECTROS","2026-08-13",17000.00
"Piso EMA","ELECTROS","2026-08-14",6800.00
"Piso EMA","ELECTROS","2026-08-15",96400.00
"Piso EMA","FERRETERIA","2026-08-01",31370.00
"Piso EMA","FERRETERIA","2026-08-03",257585.00
"Piso EMA","FERRETERIA","2026-08-04",43130.00
"Piso EMA","FERRETERIA","2026-08-05",193850.00
"Piso EMA","FERRETERIA","2026-08-06",67450.00
"Piso EMA","FERRETERIA","2026-08-07",205620.00
"Piso EMA","FERRETERIA","2026-08-08",86180.00
"Piso EMA","FERRETERIA","2026-08-10",154225.00
"Piso EMA","FERRETERIA","2026-08-11",107970.00
"Piso EMA","FERRETERIA","2026-08-12",45600.00
"Piso EMA","FERRETERIA","2026-08-13",183230.00
"Piso EMA","FERRETERIA","2026-08-14",15610.00
"Piso EMA","FERRETERIA","2026-08-15",57210.00
"Piso EMA","FERRETERIA","2026-08-17",39950.00
"Piso EMA","FERRETERIA","2026-08-18",42230.00
"Piso EMA","FERRETERIA","2026-08-19",46740.00
"Piso EMA","NEUMATICOS MOTO","2026-08-03",3500.00
"Piso EMA","NEUMATICOS MOTO","2026-08-08",3500.00
"Piso EMA","NEUMATICOS MOTO","2026-08-11",3500.00
"Piso EMA","NEUMATICOS MOTO","2026-08-18",3500.00
"Piso EMA","PIEZAS DE AUTO","2026-08-03",5440.00
