code,name,unit,price,quantity,category
AL1042,LECHE CONDENSADA ,UNO,550,1000,ALIMENTOS
AL1046,CHICHARRON,UNO,150,1000,ALIMENTOS
AL1047,GALLETAS DE SAL ,UNO,700,1000,ALIMENTOS
AL1049,AZUCAR DE BOLSA ,UNO,840,1000,ALIMENTOS
AL1050,SOPA,UNO,200,1000,ALIMENTOS
AL1051,ESPAGUETI,UNO,300,1000,ALIMENTOS
AL1052,CODITOS ,UNO,300,1000,ALIMENTOS
AL1053,CARNE PRENSADA ,UNO,800,1000,ALIMENTOS
AL1056,SPAM,UNO,800,1000,ALIMENTOS
AL1057,JAMONADA,UNO,750,1000,ALIMENTOS
AL1058,CROQUETAS,UNO,200,1000,ALIMENTOS
AL1062,AZUCAR SACO ,UNO,22500,1000,ALIMENTOS
AL1071,GALLETAS DE SAL ,UNO,170,1000,ALIMENTOS
AL1080,SACO HARINA ,UNO,42000,1000,ALIMENTOS
AL1081,PICADILLO,UNO,450,1000,ALIMENTOS
AL1089,MANTEQUILLA ,UNO,500,1000,ALIMENTOS
AL1091,HAMBURGUESA,UNO,100,1000,ALIMENTOS
AP1004,INTIMAS ,UNO,480,1000,ARTICULOS DE ASEO Y BELLEZA
AP1005,DIARIAS,UNO,450,1000,ARTICULOS DE ASEO Y BELLEZA
AP1006,TOHALLA HUMEDA ,UNO,700,1000,ARTICULOS DE ASEO Y BELLEZA
AP1007,PASTA ,UNO,380,1000,ARTICULOS DE ASEO Y BELLEZA
AP1008,COLONIA,UNO,1500,1000,ARTICULOS DE ASEO Y BELLEZA
AP1026,CHAMPU ,UNO,2200,1000,ARTICULOS DE ASEO Y BELLEZA
AP1086,PAPEL ,UNO,140,1000,ARTICULOS DE ASEO Y BELLEZA
AP1088,PASTA COLGATE,UNO,480,1000,ARTICULOS DE ASEO Y BELLEZA
AP1092,JABON BAÑO,UNO,200,1000,ARTICULOS DE ASEO Y BELLEZA
FF1011,ESTROPAJO ,UNO,120,1000,FERRETERIA
FF1079,JABAS,UNO,10,1000,FERRETERIA
BB1000,MALTA GUAJIRA ,UNO,1450,1000,BEBIDAS
BB1001,REFRESCO LATA ,UNO,340,1000,BEBIDAS
BB1002,JUGO DE CAJA ,UNO,250,1000,BEBIDAS
BB1003,REFRESCO POMO,UNO,1000,1000,BEBIDAS
BB1012,REFRESCO PAQUETE ,UNO,40,1000,BEBIDAS
BB1023,PLANCHAO,UNO,450,1000,BEBIDAS
BB1024,VODKA ,UNO,2000,1000,BEBIDAS
BB1025,WHISKY ,UNO,2200,1000,BEBIDAS
BB1059,CERVEZA MAYABE,UNO,430,1000,BEBIDAS
BB1060,CERVEZA BEER,UNO,400,1000,BEBIDAS
BB1075,ENERGIZANTE ,UNO,300,1000,BEBIDAS
BB1085,CAFE ,UNO,1000,1000,BEBIDAS
BB1093,MALTA ,UNO,400,1000,BEBIDAS
BB1097,PARRANDA ,UNO,450,1000,BEBIDAS
CF1014,MONDEO (2 CLIC),UNO,40,1000,CONFITURAS
CF1015,MONDEO (1 CLIC),UNO,40,1000,CONFITURAS
CF1016,MENTA PLUS ,UNO,120,1000,CONFITURAS
CF1017,BUTTER ,UNO,220,1000,CONFITURAS
CF1019,BOTONETAS ,UNO,60,1000,CONFITURAS
CF1020,CARAMELOS,UNO,20,1000,CONFITURAS
CF1021,BOMBON ,UNO,50,1000,CONFITURAS
CF1022,CHUPA CHUPA ,UNO,50,1000,CONFITURAS
CF1027,SALTIBLACK,UNO,220,1000,CONFITURAS
CF1031,PETER,UNO,160,1000,CONFITURAS
CF1032,PETER,UNO,120,1000,CONFITURAS
CF1033,KISS,UNO,100,1000,CONFITURAS
CF1034,TREAT ,UNO,250,1000,CONFITURAS
CF1035,TOCO CHOCO,UNO,230,1000,CONFITURAS
CF1036,TOCO CHOCO,UNO,650,1000,CONFITURAS
CF1040,COOKIES,UNO,180,1000,CONFITURAS
CF1041,PORLEO ,UNO,150,1000,CONFITURAS
CF1063,GOGO,UNO,180,1000,CONFITURAS
CF1064,BISKIATO,UNO,160,1000,CONFITURAS
CF1074,CIDER ,UNO,200,1000,CONFITURAS
CF1076,CAKE TREADS ,UNO,180,1000,CONFITURAS
CF1077,VANELLI,UNO,170,1000,CONFITURAS
CF1083,PALITOS ,UNO,300,1000,CONFITURAS
CF1084,TOCO ,UNO,200,1000,CONFITURAS
CF1090,ACTIVE PLUS ,UNO,150,1000,CONFITURAS
CG1013,HUPMAN,UNO,450,1000,CIGARROS Y TABACOS
CG1094,POPULAR ,UNO,500,1000,CIGARROS Y TABACOS
QQ1009,DETERGENTE,UNO,300,1000,QUIMICOS GENERAL
QQ1010,DETERGENTE LIQUIDO ,UNO,500,1000,QUIMICOS GENERAL
QQ1078,DETERGENTE YAMI,UNO,500,1000,QUIMICOS GENERAL
DD1018,GELATINA ,UNO,280,1000,DULCES Y POSTRES
DD1028,ALICANTE,UNO,200,1000,DULCES Y POSTRES
DD1029,MANI ,UNO,100,1000,DULCES Y POSTRES
DD1030,BRINKY,UNO,80,1000,DULCES Y POSTRES
DD1037,DULCE RAYAN ,UNO,150,1000,DULCES Y POSTRES
DD1038,PANQUE CHOCO ,UNO,150,1000,DULCES Y POSTRES
DD1039,MANUELA ,UNO,150,1000,DULCES Y POSTRES
DD1065,DULCE MARIA ,UNO,300,1000,DULCES Y POSTRES
DD1066,INVITE ,UNO,170,1000,DULCES Y POSTRES
DD1067,PARADISE,UNO,130,1000,DULCES Y POSTRES
DD1068,DONAS,UNO,160,1000,DULCES Y POSTRES
DD1069,MELOCOTON,UNO,650,1000,DULCES Y POSTRES
DD1070,ALIOLI,UNO,650,1000,DULCES Y POSTRES
DD1087,PANQUE BORGIN,UNO,180,1000,DULCES Y POSTRES
DD1095,MANI ,UNO,130,1000,DULCES Y POSTRES
DD1096,MANI,UNO,500,1000,DULCES Y POSTRES
GC1048,ARROZ DE BOLSA ,UNO,700,1000,GRANOS VARIOS
GC1061,ARROZ SACO ,UNO,32500,1000,GRANOS VARIOS
GC1082,ARROZ SACO ,UNO,18800,1000,GRANOS VARIOS
EC1054,PASTA TOMATE ,UNO,500,1000,ESPECIAS Y CONDIMENTOS
EC1055,VINO SECO ,UNO,400,1000,ESPECIAS Y CONDIMENTOS
EC1072,SAZON PAQUETE,UNO,70,1000,ESPECIAS Y CONDIMENTOS
EC1073,VINAGRE ,UNO,400,1000,ESPECIAS Y CONDIMENTOS
CV1043,MAYONESA ,UNO,850,1000,CONSERVAS
CV1044,SALSA ROSA,UNO,850,1000,CONSERVAS
CV1045,MOSTAZA,UNO,850,1000,CONSERVAS
