familia,fecha,importe
ALIMENTOS,01/06/2026,89833
ALIMENTOS,03/06/2026,4000
ALIMENTOS,04/06/2026,3500
ALIMENTOS,05/06/2026,12000
ALIMENTOS,06/06/2026,3500
ALIMENTOS,08/06/2026,10000
ALIMENTOS,09/06/2026,4500
ALIMENTOS,10/06/2026,4500
ALIMENTOS,11/06/2026,30150
ALIMENTOS,12/06/2026,4500
ALIMENTOS,14/06/2026,1500
ALIMENTOS,15/06/2026,5000
ALIMENTOS,16/06/2026,19200
ALIMENTOS,17/06/2026,5600
ALIMENTOS,19/06/2026,6000
ALIMENTOS,22/06/2026,52914
ALIMENTOS,23/06/2026,24500
ALIMENTOS,24/06/2026,19240
ARTICULOS DE ASEO Y BELLEZA,01/06/2026,207600
ARTICULOS DE ASEO Y BELLEZA,05/06/2026,120000
ARTICULOS DE ASEO Y BELLEZA,12/06/2026,15000
ARTICULOS DE ASEO Y BELLEZA,17/06/2026,175000
ARTICULOS DE ASEO Y BELLEZA,22/06/2026,250000
ARTICULOS DE ASEO Y BELLEZA,01/06/2026,9750
ARTICULOS DE ASEO Y BELLEZA,03/06/2026,3100
ARTICULOS DE ASEO Y BELLEZA,05/06/2026,4550
ARTICULOS DE ASEO Y BELLEZA,11/06/2026,5200
ARTICULOS DE ASEO Y BELLEZA,12/06/2026,400
ARTICULOS DE ASEO Y BELLEZA,15/06/2026,7200
ARTICULOS DE ASEO Y BELLEZA,18/06/2026,1200
ARTICULOS DE ASEO Y BELLEZA,19/06/2026,300
ARTICULOS DE ASEO Y BELLEZA,22/06/2026,2000
ARTICULOS DE ASEO Y BELLEZA,23/06/2026,900
ARTICULOS DE ASEO Y BELLEZA,24/06/2026,5000
BEBIDAS,01/06/2026,219750
BEBIDAS,03/06/2026,35000
BEBIDAS,04/06/2026,135000
BEBIDAS,05/06/2026,165000
BEBIDAS,06/06/2026,105000
BEBIDAS,08/06/2026,238000
BEBIDAS,10/06/2026,74750
BEBIDAS,11/06/2026,39000
BEBIDAS,13/06/2026,160250
BEBIDAS,14/06/2026,59000
BEBIDAS,15/06/2026,42000
BEBIDAS,16/06/2026,84000
BEBIDAS,17/06/2026,126000
BEBIDAS,18/06/2026,168000
BEBIDAS,22/06/2026,96000
BEBIDAS,23/06/2026,42000
BEBIDAS,24/06/2026,122400
GRANOS VARIOS,01/06/2026,277030
GRANOS VARIOS,03/06/2026,526870
GRANOS VARIOS,04/06/2026,124210
GRANOS VARIOS,05/06/2026,144810
GRANOS VARIOS,06/06/2026,166890
GRANOS VARIOS,08/06/2026,94200
GRANOS VARIOS,09/06/2026,51760
GRANOS VARIOS,10/06/2026,55500
GRANOS VARIOS,11/06/2026,63160
GRANOS VARIOS,12/06/2026,38280
GRANOS VARIOS,13/06/2026,205500
GRANOS VARIOS,14/06/2026,47000
GRANOS VARIOS,15/06/2026,220100
GRANOS VARIOS,16/06/2026,34050
GRANOS VARIOS,17/06/2026,173475
GRANOS VARIOS,18/06/2026,92700
GRANOS VARIOS,19/06/2026,35100
GRANOS VARIOS,22/06/2026,128540
GRANOS VARIOS,23/06/2026,59650
GRANOS VARIOS,24/06/2026,41505
QUIMICOS GENERAL,01/06/2026,74000
QUIMICOS GENERAL,17/06/2026,15000
QUIMICOS GENERAL,19/06/2026,3500
QUIMICOS GENERAL,24/06/2026,3500
QUIMICOS GENERAL,01/06/2026,73700
QUIMICOS GENERAL,03/06/2026,27500
QUIMICOS GENERAL,09/06/2026,17200
QUIMICOS GENERAL,10/06/2026,10000
QUIMICOS GENERAL,13/06/2026,28500
QUIMICOS GENERAL,15/06/2026,17500
QUIMICOS GENERAL,16/06/2026,10000
QUIMICOS GENERAL,17/06/2026,29000
QUIMICOS GENERAL,22/06/2026,34300
QUIMICOS GENERAL,01/06/2026,1200
QUIMICOS GENERAL,10/06/2026,2100
QUIMICOS GENERAL,22/06/2026,1500
QUIMICOS GENERAL,01/06/2026,6300
QUIMICOS GENERAL,06/06/2026,6500
QUIMICOS GENERAL,08/06/2026,5150
QUIMICOS GENERAL,09/06/2026,800
QUIMICOS GENERAL,10/06/2026,3100
QUIMICOS GENERAL,11/06/2026,4800
QUIMICOS GENERAL,12/06/2026,350
QUIMICOS GENERAL,14/06/2026,6500
QUIMICOS GENERAL,16/06/2026,350
QUIMICOS GENERAL,18/06/2026,1500
QUIMICOS GENERAL,22/06/2026,2000
QUIMICOS GENERAL,23/06/2026,5600
QUIMICOS GENERAL,24/06/2026,10500
QUIMICOS GENERAL,01/06/2026,16800
QUIMICOS GENERAL,03/06/2026,40500
QUIMICOS GENERAL,05/06/2026,12000
QUIMICOS GENERAL,06/06/2026,9000
QUIMICOS GENERAL,08/06/2026,34500
QUIMICOS GENERAL,09/06/2026,20500
QUIMICOS GENERAL,10/06/2026,33500
QUIMICOS GENERAL,11/06/2026,15000
QUIMICOS GENERAL,12/06/2026,61300
QUIMICOS GENERAL,13/06/2026,1800
QUIMICOS GENERAL,15/06/2026,5500
QUIMICOS GENERAL,16/06/2026,22500
QUIMICOS GENERAL,18/06/2026,6000
QUIMICOS GENERAL,19/06/2026,47400
QUIMICOS GENERAL,22/06/2026,16500
QUIMICOS GENERAL,23/06/2026,45000
QUIMICOS GENERAL,24/06/2026,49140
QUIMICOS GENERAL,03/06/2026,7000
QUIMICOS GENERAL,08/06/2026,1500
QUIMICOS GENERAL,09/06/2026,800
QUIMICOS GENERAL,11/06/2026,1600
QUIMICOS GENERAL,15/06/2026,6000
QUIMICOS GENERAL,22/06/2026,1600
