deposito,familia,fecha,importe,,
Piso EMA,ACEITES Y LUBRICANTES,01/08/2026,6120,,
Piso EMA,ACEITES Y LUBRICANTES,03/08/2026,167504,,
Piso EMA,ACEITES Y LUBRICANTES,04/08/2026,25440,,
Piso EMA,ACEITES Y LUBRICANTES,05/08/2026,44940,,
Piso EMA,ACEITES Y LUBRICANTES,08/08/2026,31058,,
Piso EMA,ACEITES Y LUBRICANTES,10/08/2026,15000,,
Piso EMA,ACEITES Y LUBRICANTES,11/08/2026,30428,,
Piso EMA,ACEITES Y LUBRICANTES,12/08/2026,5480,,
Piso EMA,ACEITES Y LUBRICANTES,13/08/2026,25398,,
Piso EMA,ACEITES Y LUBRICANTES,14/08/2026,53496,,
Piso EMA,BATERIAS,03/08/2026,102000,,
Piso EMA,BATERIAS,04/08/2026,285600,,
Piso EMA,BATERIAS,05/08/2026,74800,,
Piso EMA,BATERIAS,07/08/2026,81600,,
Piso EMA,BATERIAS,12/08/2026,287700,,
Piso EMA,BATERIAS,14/08/2026,102000,,
Piso EMA,BOMBILLOS,01/08/2026,500,,
Piso EMA,BOMBILLOS,03/08/2026,4700,,
Piso EMA,BOMBILLOS,04/08/2026,600,,
Piso EMA,BOMBILLOS,05/08/2026,7600,,
Piso EMA,BOMBILLOS,07/08/2026,600,,
Piso EMA,BOMBILLOS,08/08/2026,1000,,
Piso EMA,BOMBILLOS,10/08/2026,1000,,
Piso EMA,BOMBILLOS,11/08/2026,4900,,
Piso EMA,BOMBILLOS,12/08/2026,7000,,
Piso EMA,BOMBILLOS,13/08/2026,4800,,
Piso EMA,BOMBILLOS,14/08/2026,600,,
Piso EMA,ELECTROS,04/08/2026,23800,,
Piso EMA,ELECTROS,06/08/2026,51000,,
Piso EMA,ELECTROS,07/08/2026,122400,,
Piso EMA,ELECTROS,08/08/2026,24000,,
Piso EMA,ELECTROS,10/08/2026,17125,,
Piso EMA,ELECTROS,13/08/2026,17000,,
Piso EMA,ELECTROS,14/08/2026,6800,,
Piso EMA,FERRETERIA,01/08/2026,31370,,
Piso EMA,FERRETERIA,03/08/2026,257585,,
Piso EMA,FERRETERIA,04/08/2026,43130,,
Piso EMA,FERRETERIA,05/08/2026,193850,,
Piso EMA,FERRETERIA,06/08/2026,67450,,
Piso EMA,FERRETERIA,07/08/2026,205620,,
Piso EMA,FERRETERIA,08/08/2026,86180,,
Piso EMA,FERRETERIA,10/08/2026,154225,,
Piso EMA,FERRETERIA,11/08/2026,107970,,
Piso EMA,FERRETERIA,12/08/2026,45600,,
Piso EMA,FERRETERIA,13/08/2026,183230,,
Piso EMA,FERRETERIA,14/08/2026,15610,,
Piso EMA,NEUMATICOS MOTO,03/08/2026,3500,,
Piso EMA,NEUMATICOS MOTO,08/08/2026,3500,,
Piso EMA,NEUMATICOS MOTO,11/08/2026,3500,,
Piso EMA,PIEZAS DE AUTO,03/08/2026,5440,,
Piso EMA,PIEZAS DE AUTO,06/08/2026,61200,,
Piso ServiCupet,PIEZAS DE AUTO,07/08/2026,68000,,
Piso EMA,PIEZAS DE AUTO,08/08/2026,5440,,
Piso EMA,PIEZAS DE AUTO,10/08/2026,34175,,
Piso EMA,PIEZAS DE AUTO,11/08/2026,4100,,
Piso EMA,PIEZAS DE AUTO,13/08/2026,29240,,
Piso EMA,PIEZAS DE AUTO,14/08/2026,27200,,
Piso EMA,PIEZAS DE BICICLETA,11/08/2026,600,,
Piso EMA,PIEZAS DE BICICLETA,13/08/2026,4800,,
Piso EMA,PIEZAS DE BICICLETA,14/08/2026,600,,
Piso EMA,PIEZAS DE MOTO,01/08/2026,700,,
Piso EMA,PIEZAS DE MOTO,03/08/2026,6500,,
Piso EMA,PIEZAS DE MOTO,04/08/2026,1400,,
Piso EMA,PIEZAS DE MOTO,06/08/2026,3000,,
Piso EMA,PIEZAS DE MOTO,08/08/2026,250,,
Piso EMA,PIEZAS DE MOTO,11/08/2026,11150,,
Piso EMA,PIEZAS DE MOTO,13/08/2026,3000,,
Piso EMA,PIEZAS DE MOTO,14/08/2026,250,,
Piso EMA,PINTURAS,01/08/2026,41650,,
Piso EMA,PINTURAS,03/08/2026,32050,,
Piso EMA,PINTURAS,04/08/2026,53550,,
Piso EMA,PINTURAS,05/08/2026,35700,,
Piso EMA,PINTURAS,06/08/2026,4500,,
Piso EMA,PINTURAS,07/08/2026,15900,,
Piso EMA,PINTURAS,08/08/2026,9950,,
Piso EMA,PINTURAS,10/08/2026,25900,,
Piso EMA,PINTURAS,11/08/2026,30000,,
Piso EMA,PINTURAS,12/08/2026,39000,,
Piso EMA,PINTURAS,13/08/2026,136500,,
Piso EMA,PINTURAS,14/08/2026,37000,,
Piso EMA,RODAMIENTOS,01/08/2026,1500,,
Piso EMA,RODAMIENTOS,04/08/2026,1500,,
Piso EMA,RODAMIENTOS,06/08/2026,1600,,
Piso EMA,RODAMIENTOS,07/08/2026,2000,,
Piso EMA,RODAMIENTOS,13/08/2026,6500,,
Piso EMA,RODAMIENTOS,14/08/2026,2500,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
